lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
,334,,,,,,,,66,0.422968327999115,0.57518470287323,0.23432587087154388,0.2058805227279663,0.2107849270105362,0.21599043905735016,0.31085580587387085
3.3500000000000005e-06,335,,,,,,,,,,,,,,,
,339,0.37560826539993286,0.5501513481140137,0.20666931569576263,0.18656615912914276,0.19761210680007935,0.17904949188232422,0.2826094627380371,67,,,,,,,
,339,,,,,,,,67,0.38886168599128723,0.5614979267120361,0.2068566530942917,0.1892457902431488,0.2083849459886551,0.19071152806282043,0.29092642664909363
3.4000000000000005e-06,340,,,,,,,,,,,,,,,
,344,0.4517289698123932,0.6325759887695312,0.26667749881744385,0.20952801406383514,0.2216653972864151,0.21172145009040833,0.33231624960899353,68,,,,,,,
,344,,,,,,,,68,0.4465363025665283,0.6093950867652893,0.2572677731513977,0.22100238502025604,0.23252777755260468,0.21108758449554443,0.3296361565589905
3.4500000000000004e-06,345,,,,,,,,,,,,,,,
,349,0.3270640969276428,0.5344799160957336,0.1974596530199051,0.1686929613351822,0.18075010180473328,0.21153950691223145,0.2699977159500122,69,,,,,,,
,349,,,,,,,,69,0.3681597411632538,0.5259186029434204,0.1991577297449112,0.18498994410037994,0.17907275259494781,0.18245898187160492,0.2732929587364197
3.5000000000000004e-06,350,,,,,,,,,,,,,,,
,354,0.36991631984710693,0.584699273109436,0.21151065826416016,0.17372183501720428,0.17748604714870453,0.17508144676685333,0.28206926584243774,70,,,,,,,
,354,,,,,,,,70,0.35383400321006775,0.5231441259384155,0.2029258906841278,0.1780429631471634,0.1831434965133667,0.1751800924539566,0.2693784236907959
3.55e-06,355,,,,,,,,,,,,,,,
,359,0.38499578833580017,0.5645154118537903,0.2301912158727646,0.2195173054933548,0.19457726180553436,0.20592108368873596,0.29995304346084595,71,,,,,,,
,359,,,,,,,,71,0.380097895860672,0.5497052669525146,0.22363343834877014,0.19072481989860535,0.17371049523353577,0.18104971945285797,0.28315359354019165
3.6e-06,360,,,,,,,,,,,,,,,
,364,0.33110448718070984,0.5088255405426025,0.20426203310489655,0.18905913829803467,0.17758271098136902,0.17239758372306824,0.2638719379901886,72,,,,,,,
,364,,,,,,,,72,0.4438730776309967,0.5631098747253418,0.23913885653018951,0.20604659616947174,0.18775708973407745,0.2291206568479538,0.3115077018737793
3.6499999999999998e-06,365,,,,,,,,,,,,,,,
,369,0.32854706048965454,0.5067543983459473,0.16856582462787628,0.1854015737771988,0.15542788803577423,0.14768828451633453,0.2487308382987976,73,,,,,,,
,369,,,,,,,,73,0.4148396849632263,0.567249059677124,0.2401912957429886,0.2072868049144745,0.20142346620559692,0.21176107227802277,0.3071252107620239
3.7e-06,370,,,,,,,,,,,,,,,
,374,0.4054700434207916,0.5449403524398804,0.24206368625164032,0.25566309690475464,0.21728107333183289,0.221026211977005,0.3144074082374573,74,,,,,,,
,374,,,,,,,,74,0.3634071946144104,0.5426011681556702,0.20366178452968597,0.18224966526031494,0.18020392954349518,0.1766580045223236,0.2747969627380371
3.75e-06,375,,,,,,,,,,,,,,,
,379,0.3453342318534851,0.5227740406990051,0.20327796041965485,0.19480186700820923,0.18118135631084442,0.18469785153865814,0.27201125025749207,75,,,,,,,
